,0EB0qIEwRUcXG64Dg23DTPBcUo13,0b2KiEEdThQ6u4knHevNVI03f3Z2,11D9tkvxZKUJrOi1H6yuRhcAKGp2,13lmysDHVkWBWLUNjlm3ZWKz3e53,14z8RyVB91asRf2RtR6jRZNjTkA3,1w5sD6Cmm5Q8NvrGuH36LvB9dkI3,2j6DSCT5hUfHKtNsnaP5NhUJJr23,39RywKhUJrhxh4cXl7YjefMa7bm1,3EBNP85uChfmzkuig6EM1AaaUEm2,3PMuIcWcDndjbw2uklxRn3PHz7f1,3tKSjV9Jt7NWrucQU1DwQ8SA0Zi2,4YUX8S9ShdQ3qtrpMbcdUA6RlLn2,4fZxS6gILxgAK2GKwSdJSiQL5dA3,4l8oRg78pseCZz5BhhcOr5eqtmt1,4pkPdUrSIZc5zK67zB05yA3y2zJ3,5sbEJ8E9CZYZ5boHbZitZoohMZ02,6HXoqTkXAeRrucXXik2SakUwcTD2,6eLfaMBylEdGlWLj3wpndzVZsmw1,6epvjbUMS1eWpprZaoJCoVnFAqA3,6nus5rNNCjd0NIyD5yyxK9pMWG53,6ugsdYsaTTNo2g71fzmaKxPO9tk2,7YEGkE02fbWMWhLQRoRNFqeykZn2,7uSqjaW1Zodz7KmGz7wxLeJLN7W2,8q0CYC1WSlOU8osLYT3UHPGAsuh1,8r9XPMkAkPhsgE6I0vv5frZTbda2,8xHrL8lAkuhU15arn8m0UILMTdY2,92I3aBQwnqOnMT7hMyDjfsGHQP93,9PfXC395wLcLQjHWYXPoPn7hoPB2,A1E2MFWOmKUJJbBNimCYJ8OylJ73,AGan3gGYakR4lDN3X3d5883qHbY2,ALiulkgfVUYZbZJXvXI21IV9Kby1,ALm9XOhFy9Ux2aQazmY34kTilvC3,AYbinb1A0CTCc7jz2x9bR5ntAi82,AqdfaKGyfkfNyrzWSjRsLLHdzNx2,B5cQaIvy8jSkbBwq6LY3qX3QEgT2,Be2LKJXRrXeUqdFWrz8ZTUo7xS43,CCBFMZK0PXcq7I7L6HxhTwdxcUa2,CXencJhiLkZFwDNDk1VbdTc64ZC3,D5hF0VNjtDWsyyekw6wVl8Hyt273,EO9EZf3hCiUtJWLZLPRNRVEERsi1,EaFLEnR3Y2fYtCNarreI9cJbxzG2,F8yE6hKUjLgePOMTrEXq264vHy73,FJ3OuRAxVIVXh7qDMgRTHySUMI62,FWm66MLP1aa0cx9tdNExMbvODeh1,FXVYDutZzOTHnCVfi4nfBI6DPO93,FbXEq4nWm9hVndxSlIZxRbhhGJt2,GUoZSzoXDUQgSMaqNPRIsbGuBS53,Ge5kV6gzZZQ2O1kmpaZEbUXuC8n1,Gljlhhva6YXzmdPouMKGs6zoP3r2,GtKuJLvInteWpTZSFozr0m8lbVj1,H17OWmTRVCdWmukJqBb8o0rbcMh2,H5slN7ZlwiZsIkVuC2FBgRmo8gn2,H7QV8DzUnnWQuqz7iafq3OdiUf32,HJ0k9cCwtyWok4PBM1s4l0qomlX2,I2cokoEbzbX0vnjYmBIgv81aGMp2,In6PO2LefnhIMQGGyHPSw8LYjug1,JW8Zwr4tEFWZLvrOsKU4EQ8yQJD3,JcvnAsh44XUDPZ4nUwnXEtHicY53,K9xVcrOw94Tja94stK7LOSeGajI2,KX3pet9NznVkQqoZjEhAx1rVaJo1,KXprpVeeRme5pFi67vJFKUiMWnm1,KcJXCD4QtEXyuArOjNGnJLsHHKB3,KilbHM0yXodO4aUSx2s4jYJCEI92,LkiKOm0gzob7m8yfSruMmKH2zpT2,MJXUlK3eVgOVe4b2Gkx8IYeQczK2,MQrUZBlWGRewPHaRyyEWe9hIKgh2,McIZosgX4wcVA56ICmxQqn1RJuq2,MqvSlAvbMsWZLGYIgP7FfTikYXM2,MyG1eLqDBwd9SikVIlMvZb6iFv43,NnfknOPyXSP55G8vTvmR8G85m5G3,NrmW4lveLqUREi3Dn6cYgNNU8Qp1,OBZ20cICEobx4tMaHf6k3LSmBWL2,OHFfIhlG7oYjMzP7eRS9cgycw1v1,OgL4fvR6qsdektGHSM0T6WK5KQt1,OwB1X0CL7UbR8i0nE7VEeCQhEv32,P4uXXatJWGTAWdCIh1FOsERFOau2,PPD3lhVShAen2CJjvRPDEjKr1u02,PxSgPRDOV7RL0QWO2mFydSSo2Q82,QCh50Xac6SaLSgytjRRhfOIAjj33,QdeMgXBxKcPvoEX6LFbWKoxi18r1,Qk3CBzEPcdVIIluyBrVFIrLuGmN2,R3upIhBuytXKKXH6SGMUhuIrJA43,R8uQDQPcJucCe5tM7VVoRXtVs7m2,RWPIEQyBusZOWHfrJutdvkYVG6v2,RsfYuzva4HOVSDaOmAidryUXP1K2,SNNvlOdOmHVpd4sb1fRvqdR9afq2,TBOFCXaOKZWtJvDTBLZjdjLsoVt1,TGGEnLY4UxgU6ZvNRcnW1GIiuVD3,TeOMqD58ddOj1y0Dyq2zVkvYOzC3,TmhRA0S4AiVhi4L4W9c8avrYlVn2,U4Kyye4jOMR4UagMv1RHxtxgWM73,UkJaH9ivq9Ypr8RZRrWreKTAOQH3,UmEOZHRw2EU5GTVvSdHSWvumqZv1,VSKZMHeU73V7LyXOv0jyQ6Kc8c03,WQxjJWfKRkWma358vhdDvWXaexd2,WdNeLn54OMe6K64tmGol3tcvzyx1,WmHK7fzpgXO5gtNdM6NbFIUc9CC3,XA0VKX6NYMZVGvJEV3JItlG60ts2,YMsZQTxzh4g8HKAoMMBm4K07KSO2,YVcLskd2FXTpUUtZMRVfdcfG5gq1,YfvNZv23wrPEz978LnBxf7gHugF2,YsdQpbjnR6dwP84iJSu3qleLzOn1,Z4mPUOB1y0MpGezhLQSHw958SXn1,ZLGu4AGEMlbyLbJ3AHE63Nh1YW12,ZRorJi49LhX5vhBKpKaVYE2vzRy2,ZeEHLUia50ePmXskY43xClCm7Rz1,anXHJoG6PZViKiB1L3Sh1jgimrB2,b0et7NnjLBZJUKyNhjBfACP6Wm52,bC9ezshzpfTQOukCs0od6iyb0HD3,bYZepgq2T6RGgTVevoQh486OIYg2,cJ6I6uBUyahEPfP30pKTAfC0DhY2,cZxeCNlSSwX4ISLPyg1Pm7ABIam2,cdxhWGZe28XYKWdIwliR53VNuus1,clD6WhbL8YOzmL2ViRvtU23c2XR2,dAqEdu7wYfW3T6qvUozHf7CstVh1,dMtJBkfMF4YF8bokCTQNnA5T2i63,dg7f58ElNLQwQUFiZdAVjaMx0Ee2,e3Vl8LXyK0Y6hPSbv6Mzn5A94P52,g2DfgDKf3JUVR2RKfLSXWKEsVc93,g81gIyBuMxSA1maH1xHF3FF4pb02,g90ayYDjl6czwuO5HUHgUh0hrKP2,gkzSwHusfyRiU0RChCpqKOb4UQr2,hBnSc8s3M1NNKRRL1ohx9GmBGb93,hDQw1kLdIbQiE9oWLrEXhrO0QsP2,hHQS9pvPIVRbF6G6xxxLgpwfxWu2,hXOnF26UqwO0Y1xfG6ozjI5UhB63,hasdTgzl77ZMPGpm093FVFj874C3,hwgTnmKo0JU1y25lWnD46H9N3Ts1,iC8IacI6pLOWFLfLG4QJuBlQ2iO2,iLc7lW94ugbJZsghNl3ekAviIDC2,jHFpilVAG4TLJWoWpHo75ebEymo2,jKeXNTOc3RguXgqmYZ9R8AZUqI43,jKpcQ0ZZETWzSQDy4uHEFDLW82p2,jU4rqHUMN2bnhQDuGTQhjp0DBlH2,jqFWkYgNtpPGTUD3CNTN7iS5yE13,kSNML34cPBeO71AjmuE8yneBKbh1,l0VGTqQF82YM29htLaiaejQd3hM2,lFlOtQh2ZaSOBQY3TqT3O4Wwlyt2,lqyLfHitD5cdp4ANgeImUM0A3VG2,lwXWKDChIHfBvjxPqz1BF9S8jzT2,mClirU6m7iOngUu9cAyHyBvfBtp2,nld0suRBz0ULbvyM3yeLgk73VAO2,oEX6uXqFVvOxRi8K1O4E3H4Cldt2,ofKMlLfl7MM8j4JFizwtEra1Psk1,oi9ouku6poXwfvkSjsJpkYguTky1,pBoVjxZlTYOqryLVrGmgfQ9V0d12,rOxnj1Ja6oe0FguD9vJco69fAmg1,rVaMdtFn9mTnQMvuUcUVW9mz6852,rc8egJ476jhouuKsj2MwakEnmWM2,reBZydT7lPV6fr7PVQJPiJrZ9483,rmaUMKUfMHbtnAktni3lLOeC34d2,s56yjgEQnEYesaYkHUD8KrukGzK2,sB00Uw0Gs0Q76qHTVuuTMb6ROSP2,sQr2CFV85NgpqPcvZMTMTsulQmC3,sWMXPfc8LZR1Dkfefl8gD67doqe2,ss6gnphRkXhCFFSUjx1U6M9J7bl1,syO6JArHavRSMypVk61pSlojNnf1,tJkiuNsnHiQcbazx5t5NlEtyEc93,tToQlD8iArdqNahw6mIcpxddKEo1,uICOLoRRBZhltn53YXJpWCwHL923,ubyIQZmxJLViBLoYR9aJXT04Txk2,unUJHaMUb4O1KbI5D8vg5Ro8P7y2,uxO0ppCAylTlyVDD7bYBRuwYVDM2,uxQI1ImydkdY75T5m9DXXJ4NAWl2,w2cxL0BSshSm2oJllIHh7ZbePR93,woVuG1heWOONE1R3J56WVWQhPrg1,xBxwMw9LyaeYUIzWLKPPsaQwJEJ2,xCy33qgxaTSpt6oTEcZMX7eITh93,xpI9lCz8ZEbrfipP76Hp09Xh88r1,xradzTeEpSRVH2qd6D3657UJcRM2,xvbk9TSqpdWZ6qc8BOSfRpUZ4Pm1,y7yctep3VCPwvQ6AR6wmIyBJVEW2,yPi8qAls34RlyY3cpGJnKYh78Kp2,yiKHpwpTtBNxuZtgiuP1VCpSxvG3,ykna1EalRiURboW4js6m4dXWsAC3,yuBmKLtuZuVPX5iepQcR3Bazcrj1,yvON7VlsSmY836Wf550ZHRyvFsA3,z3i1NUyChSPYZZDuWPlh8ZHANlO2,z5XwOcYr84Uttgj5xQA7MCPaYMR2,zHZBIQJvcPhaXw6worE0tzNbvGL2,zknmJ3lVdJhkEP8AmFsZYoM5VWc2,zxv9rdKvMRfvqs0IqH3TFthlXh83
0,3,1,5,10,4,0,8,2,4,4,3,5,5,8,0,9,7,5,3,8,5,1,5,12,7,1,3,8,10,6,6,5,3,1,3,4,5,10,5,10,7,2,5,6,10,3,7,7,8,10,10,6,9,9,9,2,7,9,8,9,9,5,0,7,3,10,6,0,7,10,6,2,9,1,7,1,3,9,10,3,2,6,0,4,4,7,0,5,3,1,6,7,9,1,4,5,0,10,5,2,7,3,0,8,1,2,7,10,9,2,5,8,8,9,1,4,2,3,10,7,9,5,4,9,2,8,10,7,3,3,6,1,3,6,2,0,8,1,3,6,5,1,6,4,5,8,2,10,1,10,1,5,10,5,9,5,7,7,9,10,7,1,8,1,4,7,4,8,5,0,10,2,0,9,9,0,0,5,4,2,8,2
1,0,5,4,0,0,2,5,4,2,9,3,4,5,9,2,9,6,7,1,0,6,5,7,6,9,1,5,3,7,3,8,1,3,5,3,0,8,0,4,1,2,10,3,5,5,10,4,8,10,6,3,8,1,9,4,9,10,8,3,0,6,2,0,2,7,2,1,6,4,7,4,7,3,6,6,2,7,3,5,0,6,1,2,8,1,4,3,0,2,5,0,6,4,8,0,10,1,10,0,8,1,2,9,7,0,8,4,3,9,8,9,6,3,6,3,0,10,6,2,0,9,5,7,5,6,2,0,0,5,10,0,3,2,6,0,9,6,10,3,7,2,8,3,2,10,8,10,3,2,1,8,10,6,4,3,4,8,10,10,9,1,8,5,4,5,3,1,5,1,9,9,9,3,7,8,6,8,0,10,1,1,2
2,5,3,7,8,0,7,3,1,3,6,0,3,2,4,9,6,10,6,3,10,5,3,5,6,3,5,0,6,6,7,9,1,0,4,3,4,7,9,9,8,10,9,10,0,0,5,8,1,5,3,0,7,1,7,9,1,6,9,2,9,5,9,0,6,0,0,9,2,4,9,0,5,8,5,3,8,10,3,6,7,9,9,2,2,8,5,2,8,4,7,6,3,0,7,3,6,5,1,8,0,10,3,10,3,0,2,9,3,9,4,7,0,10,3,8,0,7,1,9,0,1,3,2,4,5,6,10,4,3,5,6,1,2,10,0,6,7,6,6,4,9,4,4,10,10,3,6,8,6,1,2,0,2,8,5,0,8,10,5,7,2,8,10,5,0,5,2,9,4,0,2,8,10,5,1,8,2,5,3,1,10,1
3,1,10,10,2,0,6,3,5,9,6,2,5,4,3,7,1,8,2,6,3,5,3,9,1,10,8,2,1,10,7,4,6,5,5,6,10,1,10,7,10,5,0,2,1,9,10,7,0,10,7,8,6,0,3,9,1,0,6,1,4,2,10,0,3,1,9,2,6,2,6,9,0,0,5,10,7,7,8,6,7,10,3,8,3,8,9,9,1,9,9,4,5,6,7,9,10,3,6,2,0,2,10,9,10,0,5,1,10,1,10,10,3,6,10,0,4,8,8,1,9,0,9,9,8,1,7,9,1,8,4,7,6,5,1,0,3,1,3,1,7,9,5,2,8,5,5,0,4,8,2,0,0,7,8,0,3,10,9,1,7,4,9,9,2,9,9,2,10,3,8,9,5,8,0,2,5,8,0,9,0,5,8
4,2,8,1,9,0,8,4,9,6,2,9,7,5,4,10,7,3,8,5,9,6,1,10,2,1,10,5,4,0,1,5,10,4,3,9,5,8,4,6,9,9,1,6,2,2,10,5,0,1,0,2,6,10,0,4,8,4,6,10,4,2,2,0,4,9,3,4,6,9,2,10,8,3,10,1,10,8,9,2,4,8,3,2,4,9,1,10,5,7,5,8,10,5,7,8,9,8,10,2,0,5,10,8,7,0,7,10,10,1,0,9,3,4,8,8,1,0,8,0,2,0,3,4,9,7,6,6,5,10,0,7,0,1,3,7,6,4,7,8,3,4,4,8,6,7,3,3,1,2,10,4,6,0,10,6,0,2,1,6,8,3,8,8,5,1,2,6,0,5,7,4,2,7,7,9,3,5,8,5,9,1,4
5,4,5,5,9,0,7,6,2,7,8,0,2,9,1,2,6,6,6,6,6,0,10,6,9,8,4,7,1,6,5,3,7,4,6,4,0,1,2,5,5,10,5,8,1,6,7,8,4,9,8,2,10,2,2,7,10,3,10,10,0,1,4,0,2,0,0,5,0,6,2,8,3,6,7,10,4,6,4,7,0,7,1,0,5,1,0,7,5,1,6,2,5,6,4,10,6,6,3,6,0,7,2,10,3,0,0,9,5,5,5,0,0,9,1,4,7,8,7,3,7,3,5,8,0,10,8,1,9,1,8,8,3,8,4,3,2,1,0,1,9,0,9,5,3,7,1,7,3,4,10,10,6,5,7,5,5,9,3,4,3,4,7,5,0,3,5,6,6,5,5,10,8,7,5,1,6,10,8,0,6,1,10
6,0,3,5,4,0,8,5,7,3,10,8,6,7,3,2,1,9,0,8,7,0,0,3,9,2,4,6,4,4,7,1,10,0,3,5,4,2,8,9,6,0,9,2,0,9,10,4,7,3,2,6,2,5,4,9,6,10,10,10,1,8,5,0,8,4,9,3,0,5,3,5,8,9,1,5,2,1,0,4,5,10,10,9,7,6,10,6,5,8,3,0,5,1,0,2,8,10,1,6,4,4,9,5,8,0,8,1,3,2,1,3,8,9,6,6,3,8,2,8,8,1,4,4,2,6,2,7,6,1,6,3,0,8,1,4,9,9,6,2,7,9,0,4,2,2,6,8,4,9,4,3,4,4,4,0,1,3,0,0,10,7,2,0,8,1,3,3,8,3,1,4,9,3,5,6,3,1,0,8,10,4,0
7,0,8,6,1,0,0,4,5,2,0,8,8,8,5,6,1,8,4,10,10,4,9,4,2,8,5,3,1,8,4,2,8,7,0,2,3,0,4,4,5,3,3,4,1,10,4,0,10,5,10,2,3,8,9,8,6,2,8,10,8,4,2,0,3,3,10,1,6,7,8,1,6,5,8,3,8,9,9,9,3,1,6,5,10,0,7,1,8,10,2,4,7,2,3,2,9,9,2,6,5,0,8,1,5,0,7,10,10,5,8,0,5,4,2,1,3,9,6,8,2,7,1,5,5,3,5,0,9,1,4,3,10,0,7,5,5,6,8,6,9,2,9,6,0,9,8,3,3,9,7,6,5,10,0,0,7,6,6,7,5,2,7,9,7,5,10,6,9,5,5,6,1,1,7,7,5,5,10,10,4,0,4
8,0,2,6,1,0,2,8,3,8,1,6,5,6,1,1,8,7,10,6,3,10,2,8,6,1,1,8,3,2,0,8,8,0,1,7,7,0,8,3,7,0,3,7,1,7,4,9,5,6,4,3,5,8,10,9,1,10,1,7,8,10,6,0,3,7,2,0,9,10,6,3,6,8,6,2,9,5,3,9,7,1,6,8,6,10,7,9,1,10,1,6,8,1,4,2,3,0,7,9,10,8,5,7,2,0,0,5,1,10,10,6,5,4,10,3,4,9,8,5,10,8,8,0,0,6,6,0,10,5,2,1,4,2,0,9,1,3,10,5,7,9,4,0,0,8,3,8,3,5,4,6,2,10,0,2,4,9,6,9,10,7,9,4,8,0,6,1,3,3,3,6,9,5,8,3,7,2,9,3,2,2,2
9,0,0,1,1,0,5,9,10,3,8,2,9,3,2,4,7,1,3,7,7,0,3,4,3,9,10,5,1,10,4,5,5,8,8,5,3,6,4,7,7,3,6,0,4,9,1,9,5,3,7,3,2,0,3,3,9,1,3,0,2,1,3,0,10,4,3,8,5,9,4,7,3,2,9,5,1,5,6,10,8,3,2,6,2,1,7,8,0,1,4,6,5,5,3,5,9,2,1,0,0,1,4,9,1,0,3,0,2,9,5,3,3,3,0,9,5,4,3,8,9,5,6,3,7,3,4,6,10,8,6,7,0,5,6,8,0,0,1,4,1,10,0,6,2,2,10,6,9,1,9,6,2,10,3,3,1,3,5,9,7,0,0,10,1,7,3,2,8,3,2,1,2,4,9,3,3,6,6,7,0,2,1
10,0,4,3,6,0,0,5,2,10,5,9,0,3,5,8,4,7,3,1,4,2,2,5,6,3,9,5,9,7,3,10,1,6,7,4,0,2,9,3,5,0,3,3,7,1,7,6,7,1,7,5,7,6,3,7,5,0,4,9,3,9,8,0,0,5,4,8,3,7,5,4,0,2,5,1,9,9,9,1,4,2,9,9,0,5,6,4,1,7,5,5,7,4,9,6,7,4,10,3,10,10,1,10,8,0,2,6,7,4,8,5,1,4,6,8,8,6,1,1,1,10,4,6,4,10,10,0,7,0,3,10,5,0,4,4,0,0,10,9,4,6,1,10,10,10,3,7,6,10,4,6,9,9,3,8,6,9,1,0,3,2,1,4,5,5,7,6,6,6,6,5,4,7,0,2,9,6,7,9,2,4,10
11,0,8,2,8,0,7,10,5,10,5,10,1,6,0,6,6,6,7,0,2,2,2,9,3,10,7,1,10,2,4,5,6,0,9,5,7,0,2,9,0,3,2,4,2,5,2,9,4,9,4,0,1,2,2,9,2,5,5,1,0,10,6,0,10,6,7,0,9,9,9,4,9,8,7,6,8,5,3,0,0,0,8,7,0,1,1,3,4,5,3,3,10,1,5,8,10,6,4,6,8,10,1,8,6,0,9,8,2,10,10,10,0,5,2,1,1,1,9,0,0,8,10,10,1,1,2,6,9,7,5,5,3,2,7,8,2,2,9,10,9,3,5,1,4,2,10,9,2,4,2,6,2,2,0,2,6,1,4,9,1,4,9,4,0,0,1,7,2,6,1,2,4,10,2,4,1,10,1,10,9,4,7
12,4,6,10,7,2,4,7,4,9,1,6,10,8,10,3,4,9,2,9,8,5,7,8,2,5,5,1,1,6,4,4,1,4,0,7,2,4,6,2,7,2,7,6,2,1,10,10,5,0,5,2,0,8,0,9,9,5,5,0,4,1,7,0,9,6,6,8,2,10,8,8,0,6,4,7,1,6,5,5,6,10,8,6,3,6,5,9,10,9,8,9,9,8,3,9,8,4,3,3,1,5,2,10,10,0,1,1,3,1,5,3,10,7,5,3,6,0,5,9,9,9,9,6,1,2,8,3,4,0,8,9,3,8,9,7,2,8,0,0,4,7,10,10,9,8,7,7,10,9,9,7,9,4,9,7,3,7,7,5,9,10,2,9,3,8,7,5,8,3,6,1,4,5,4,4,9,7,2,0,3,3,4
